name,hebrew,population 2019,established,council,name_search,area (dunams),leader_name,leader_title,wikipedia_link,settlement_latitude,settlement_longitude
Adora,אדורה,462,1984,Har Hebron,"Adora, Har Hevron",,,,"https://en.wikipedia.org/wiki/Adora, Har Hevron",31°33′08″N,35°01′08″E
Alei Zahav,עלי זהב,"3,399",1982,Shomron,Alei Zahav,,,,https://en.wikipedia.org/wiki/Alei Zahav,32°4′18.13″N,35°3′51.26″E
Alfei Menashe,אלפי מנשה,"7,952",1983,Shomron,Alfei Menashe,4616,Shy Rosenzweig,Head of Municipality,https://en.wikipedia.org/wiki/Alfei Menashe,32°10′N,35°1′E
Alon Shvut,אלון שבות,"3,098",1970,Gush Etzion,Alon Shvut,,,,https://en.wikipedia.org/wiki/Alon Shvut,31°39′17″N,35°7′40″E
Almog,אלמוג,254,1977,Megilot,Almog,,,,https://en.wikipedia.org/wiki/Almog,31°47′22.91″N,35°27′39.96″E
Almon,עלמון,"1,420",1982,Binyamin,"Almon, Mateh Binyamin",,,,"https://en.wikipedia.org/wiki/Almon, Mateh Binyamin",31°49′54.12″N,35°17′43.44″E
Argaman,ארגמן,132,1968,Bik'at HaYarden,Argaman,,,,https://en.wikipedia.org/wiki/Argaman,32°10′21″N,35°31′19″E
Ariel,אריאל,"20,540",1978,Shomron,Ariel (city),14677,[[Eliyahu Shaviro]],Mayor,https://en.wikipedia.org/wiki/Ariel (city),32°6′21.6″N,35°11′16.43″E
Asfar,מיצד,932,1983,Gush Etzion,Metzad,,,,https://en.wikipedia.org/wiki/Metzad,31°35′9.05″N,35°11′14.05″E
Ateret,עטרת,900,1981,Mateh Binyamin,Ateret,,,,https://en.wikipedia.org/wiki/Ateret,31°59′59″N,35°10′37″E
Avnat,אבנת,237,1983,Megilot,Ovnat,,,,https://en.wikipedia.org/wiki/Ovnat,31°40′45.12″N,35°26′12.47″E
Avnei Hefetz,אבני חפץ,"1,923",1990,Shomron,Avnei Hefetz,,,,https://en.wikipedia.org/wiki/Avnei Hefetz,32°17′5″N,35°4′26″E
Barkan,ברקן,"1,895",1981,Shomron,Barkan,,,,https://en.wikipedia.org/wiki/Barkan,32°6′27″N,35°6′20.51″E
Bat Ayin,בת עין,"1,568",1989,Gush Etzion,Bat Ayin,,,,https://en.wikipedia.org/wiki/Bat Ayin,31°39′26″N,35°6′8″E
Beit Aryeh,בית אריה,"5,253",1981,Shomron,Beit Aryeh-Ofarim,8500,Yehuda Elboim,Head of Municipality,https://en.wikipedia.org/wiki/Beit Aryeh-Ofarim,32°2′7.79″N,35°3′13.68″E
Beit El,בית אל,"5,973",1977,Mateh Binyamin,Beit El,1528,Shay Alon,Head of Municipality,https://en.wikipedia.org/wiki/Beit El,31°56′37.5531″N,35°13′21.1765″E
Beit HaArava,בית הערבה,350,1980,Megilot,Beit HaArava,,,,https://en.wikipedia.org/wiki/Beit HaArava,31°48′29.51″N,35°28′32.87″E
Beit Horon,בית חורון,"1,437",1977,Mateh Binyamin,Beit Horon,,,,https://en.wikipedia.org/wiki/Beit Horon,31°52′36″N,35°7′43″E
Beit Yatir,בית יתיר,550,1983,Har Hebron,Beit Yatir,,,,https://en.wikipedia.org/wiki/Beit Yatir,31°22′00″N,35°06′42″E
Beitar Illit,ביתר עילית,"59,270",1985,Gush Etzion,Beitar Illit,4300,Meir Rubenstein,Mayor,https://en.wikipedia.org/wiki/Beitar Illit,31°41′52″N,35°6′56″E
Beka'ot,בקעות,182,1972,Bik'at HaYarden,Beka'ot,,,,https://en.wikipedia.org/wiki/Beka'ot,32°14′31.68″N,35°27′9.6″E
Brukhin,ברוכין,"1,166",2012,Shomron,Brukhin,,,,https://en.wikipedia.org/wiki/Brukhin,32°4′49.54″N,35°5′10.05″E
Karmei Tzur,כרמי צור,"1,001",1984,Gush Etzion,Karmei Tzur,,,,https://en.wikipedia.org/wiki/Karmei Tzur,31°36′33.2″N,35°6′5.17″E
Carmel,כרמל,437,1981,Har Hebron,"Carmel, Mount Hebron",,,,"https://en.wikipedia.org/wiki/Carmel, Mount Hebron",31°25′54″N,35°10′58″E
Dolev,דולב,"1,448",1983,Mateh Binyamin,Dolev,,,,https://en.wikipedia.org/wiki/Dolev,31°55′33.34″N,35°8′6.64″E
Efrat(a),אפרת,"10,806",1980,Gush Etzion,Efrat,6280,Oded Revivi,Head of Municipality,https://en.wikipedia.org/wiki/Efrat,31°39′28.8″N,35°9′11.16″E
Elazar,אלעזר,"2,459",1975,Gush Etzion,"Elazar, Gush Etzion",,,,"https://en.wikipedia.org/wiki/Elazar, Gush Etzion",31°39′36″N,35°8′31″E
Eli,עלי,"4,415",1984,Mateh Binyamin,"Eli, Mateh Binyamin",,,,"https://en.wikipedia.org/wiki/Eli, Mateh Binyamin",32°4′17.03″N,35°15′55.08″E
Elkana,אלקנה,"3,838",1977,Shomron,Elkana,1148,Asaf Mintzer,Head of Municipality,https://en.wikipedia.org/wiki/Elkana,32°6′35.99″N,35°2′3.48″E
Elon Moreh,אלון מורה,"1,920",1979,Shomron,Elon Moreh,,,,https://en.wikipedia.org/wiki/Elon Moreh,32°14′2.15″N,35°19′52.69″E
Einav,ענב,891,1981,Shomron,Einav,,,,https://en.wikipedia.org/wiki/Einav,32°17′4″N,35°7′34″E
Eshkolot,אשכולות,577,1982,Har Hebron,Eshkolot,,,,https://en.wikipedia.org/wiki/Eshkolot,31°23′27″N,34°54′17″E
Etz Efraim,עץ אפרים,"2,428",1985,Shomron,Etz Efraim,,,,https://en.wikipedia.org/wiki/Etz Efraim,32°7′8.03″N,35°2′47.75″E
Hashmonaim,גני מודיעין,"2,771",1996,Mateh Binyamin,Hashmonaim,,,,https://en.wikipedia.org/wiki/Hashmonaim,31°55′51.65″N,35°1′17.66″E
Geva Binyamin,גבע בנימין,"5,682",1984,Mateh Binyamin,Geva Binyamin,,,,https://en.wikipedia.org/wiki/Geva Binyamin,31°51′0″N,35°16′25.68″E
Gilgal,גלגל,203,1970,Bik'at HaYarden,"Gilgal, Bik'at HaYarden",,,,"https://en.wikipedia.org/wiki/Gilgal, Bik'at HaYarden",31°59′58.81″N,35°26′39.86″E
Gitit,גיתית,504,1973,Bik'at HaYarden,"Gitit, Bik'at HaYarden",,,,"https://en.wikipedia.org/wiki/Gitit, Bik'at HaYarden",32°6′3.82″N,35°23′45.59″E
Giv'at Ze'ev,גבעת זאב,"18,420",1983,Mateh Binyamin,Giv'at Ze'ev,4841,Yossi Avrahami,Head of Municipality,https://en.wikipedia.org/wiki/Giv'at Ze'ev,31°51′51″N,35°10′11″E
Giv'on HaHadasha,גבעון החדשה,"1,067",1980,Mateh Binyamin,Giv'on HaHadasha,,,,https://en.wikipedia.org/wiki/Giv'on HaHadasha,31°50′55.48″N,35°9′27.33″E
Beit Hagai,בית חגי,667,1984,Har Hebron,Beit Hagai,,,,https://en.wikipedia.org/wiki/Beit Hagai,31°29′35″N,35°4′51″E
Halamish,חלמיש,,1977,Mateh Binyamin,Halamish,,,,https://en.wikipedia.org/wiki/Halamish,32°0′29.07″N,35°7′37.98″E
Hamra,חמרה,173,1971,Bik'at HaYarden,"Hamra, Bik'at HaYarden",,,,"https://en.wikipedia.org/wiki/Hamra, Bik'at HaYarden",32°11′56.4″N,35°26′5.64″E
Har Adar,הר אדר,"4,088",1986,Mateh Binyamin,Har Adar,994,Hen Filipowicz (since 2013),Head of Municipality,https://en.wikipedia.org/wiki/Har Adar,31°49′34″N,35°07′47″E
Har Brakha,הר ברכה,"2,757",1983,Shomron,Har Brakha,,,,https://en.wikipedia.org/wiki/Har Brakha,32°11′34.07″N,35°15′55.08″E
Har Gilo,הר גילה,"1,635",1972,Gush Etzion,Har Gilo,,,,https://en.wikipedia.org/wiki/Har Gilo,31°43′19″N,35°10′17″E
Hashmonaim,חשמונאים,"2,771",1985,Mateh Binyamin,Hashmonaim,,,,https://en.wikipedia.org/wiki/Hashmonaim,31°55′51.65″N,35°1′17.66″E
Hemdat,חמדת,296,1980,Bik'at HaYarden,Hemdat,,,,https://en.wikipedia.org/wiki/Hemdat,32°15′07″N,35°31′37″E
Hermesh,חרמש,224,1982,Shomron,Hermesh,,,,https://en.wikipedia.org/wiki/Hermesh,32°25′23.87″N,35°7′9.11″E
Hinanit,חיננית,"1,410",1981,Shomron,Hinanit,,,,https://en.wikipedia.org/wiki/Hinanit,32°28′49.07″N,35°10′19.56″E
Immanuel,עמנואל,"3,906",1983,Shomron,Immanuel (town),2750,Ezra Gershi,Head of Municipality,https://en.wikipedia.org/wiki/Immanuel (town),32°9′42.71″N,35°8′13.98″E
Itamar,איתמר,"1,269",1984,Shomron,Itamar,,,,https://en.wikipedia.org/wiki/Itamar,32°10′27″N,35°18′30″E
Kalya,"קלי""ה",438,1968,Megilot,Kalya,,,,https://en.wikipedia.org/wiki/Kalya,31°44′55.11″N,35°27′58.42″E
Karnei Shomron,קרני שומרון,"8,135",1978,Shomron,Karnei Shomron,7179,Yigal Lahav,Head of Municipality,https://en.wikipedia.org/wiki/Karnei Shomron,32°10′17.75″N,35°5′51.72″E
Kedar,קדר,"1,599",1985,Gush Etzion,"Kedar, Gush Etzion",,,,"https://en.wikipedia.org/wiki/Kedar, Gush Etzion",31°45′19.88″N,35°18′33.89″E
Kedumim,קדומים,"4,544",1977,Shomron,Kedumim,2313,Hananel Dorani,Head of Municipality,https://en.wikipedia.org/wiki/Kedumim,32°12′55.98″N,35°9′30.03″E
Kfar Adumim,כפר אדומים,"4,674",1979,Mateh Binyamin,Kfar Adumim,,,,https://en.wikipedia.org/wiki/Kfar Adumim,31°49′26.4″N,35°20′6″E
Kfar Etzion,כפר עציון,"1,156",1967,Gush Etzion,Kfar Etzion,,,,https://en.wikipedia.org/wiki/Kfar Etzion,31°38′56.4″N,35°6′55.44″E
Kfar Tapuach,כפר תפוח,"1,312",1978,Shomron,Kfar Tapuach,,,,https://en.wikipedia.org/wiki/Kfar Tapuach,32°7′5″N,35°15′0″E
Kiryat Arba,קרית ארבע,"7,326",1972,Har Hebron,Kiryat Arba,4386,Eliyahu Libman,Head of Municipality,https://en.wikipedia.org/wiki/Kiryat Arba,31°31′42″N,35°7′7″E
Kiryat Netafim,קרית נטפים,958,1983,Shomron,Kiryat Netafim,,,,https://en.wikipedia.org/wiki/Kiryat Netafim,32°6′57.59″N,35°6′48.6″E
Kokhav HaShahar,כוכב השחר,"2,227",1977,Mateh Binyamin,Kokhav HaShahar,,,,https://en.wikipedia.org/wiki/Kokhav HaShahar,31°57′36.00″N,35°20′52.80″E
Kokhav Ya'akov,כוכב יעקב,"8,541",1985,Mateh Binyamin,Kokhav Ya'akov,,,,https://en.wikipedia.org/wiki/Kokhav Ya'akov,31°52′48.71″N,35°14′44.51″E
Lapid,לפיד,"2,394",1996,Hevel Modi'in,"Lapid, Israel",,,,"https://en.wikipedia.org/wiki/Lapid, Israel",31°54′59.39″N,35°1′59.15″E
Ma'ale Adumim,מעלה אדומים,"38,155",1975,Gush Etzion,Ma'ale Adumim,49177,[[Benny Kashriel]],Mayor,https://en.wikipedia.org/wiki/Ma'ale Adumim,31°46′30″N,35°17′53″E
Ma'ale Amos,מעלה עמוס,663,1981,Gush Etzion,Ma'ale Amos,,,,https://en.wikipedia.org/wiki/Ma'ale Amos,31°35′47.48″N,35°13′46.38″E
Ma'ale Efrayim,מעלה אפרים,"1,260",1970,Bik'at HaYarden,Ma'ale Efrayim,4173,Shlomo Lalosh,Head of Municipality,https://en.wikipedia.org/wiki/Ma'ale Efrayim,32°4′13.54″N,35°24′13.01″E
Ma'ale Levona,מעלה לבונה,906,1983,Mateh Binyamin,Ma'ale Levona,,,,https://en.wikipedia.org/wiki/Ma'ale Levona,32°03′16″N,35°14′27″E
Ma'ale Mikhmas,מעלה מכמש,"1,529",1981,Mateh Binyamin,Ma'ale Mikhmas,,,,https://en.wikipedia.org/wiki/Ma'ale Mikhmas,31°52′44.19″N,35°18′22.92″E
Ma'ale Shomron,מעלה שומרון,996,1980,Shomron,Ma'ale Shomron,,,,https://en.wikipedia.org/wiki/Ma'ale Shomron,32°9′52.91″N,35°4′16.10″E
Ma'on,מעון,595,1981,Har Hebron,"Ma'on, Mount Hebron",,,,"https://en.wikipedia.org/wiki/Ma'on, Mount Hebron",31°24′48″N,35°09′50″E
Maskiot,משכיות,310,1986,Bik'at HaYarden,Maskiot,,,,https://en.wikipedia.org/wiki/Maskiot,32°19′2.63″N,35°30′7.92″E
Masua,משואה,184,1970,Bik'at HaYarden,Masua,,,,https://en.wikipedia.org/wiki/Masua,32°06′48″N,35°29′33″E
Matityahu,מתתיהו,891,1981,Mateh Binyamin,"Matityahu, Mateh Binyamin",,,,"https://en.wikipedia.org/wiki/Matityahu, Mateh Binyamin",31°55′47″N,35°2′4″E
Mehola,מחולה,609,1968,Bik'at HaYarden,Mehola,,,,https://en.wikipedia.org/wiki/Mehola,32°21′57.23″N,35°30′52.07″E
Mekhora,מכורה,166,1973,Bik'at HaYarden,Mekhora,,,,https://en.wikipedia.org/wiki/Mekhora,32°09′50″N,35°25′26″E
Kfar HaOranim,כפר האורנים,"2,657",1998,Mateh Binyamin,Kfar HaOranim,,,,https://en.wikipedia.org/wiki/Kfar HaOranim,31°55′9.48″N,35°2′17.52″E
Mevo Dothan,מבוא דותן,448,1978,Shomron,Mevo Dotan,,,,https://en.wikipedia.org/wiki/Mevo Dotan,32°25′12.39″N,35°10′10.24″E
Mevo Horon,מבוא חורון,"2,669",1970,Mateh Binyamin,Mevo Horon,,,,https://en.wikipedia.org/wiki/Mevo Horon,31°50′57″N,35°2′9″E
Migdal Oz,מגדל עוז,575,1977,Gush Etzion,Migdal Oz,,,,https://en.wikipedia.org/wiki/Migdal Oz,31°38′26.51″N,35°8′38.04″E
Migdalim,מגדלים,447,1983,Shomron,Migdalim,,,,https://en.wikipedia.org/wiki/Migdalim,32°5′24.72″N,35°20′32.28″E
Mitzpe Shalem,מצפה שלם,207,1971,Megilot,Mitzpe Shalem,,,,https://en.wikipedia.org/wiki/Mitzpe Shalem,31°34′6.24″N,35°24′3.24″E
Mitzpe Yeriho,מצפה יריחו,"2,560",1978,Mateh Binyamin,Mitzpe Yeriho,,,,https://en.wikipedia.org/wiki/Mitzpe Yeriho,31°48′57.60″N,35°23′38.76″E
Modi'in Illit,מודיעין עילית,"76,374",1996,Mateh Binyamin,Modi'in Illit,4746,Yaakov Gutterman,Mayor,https://en.wikipedia.org/wiki/Modi'in Illit,31°55′50″N,35°2′30″E
Na'ale,נעלה,"2,148",1988,Mateh Binyamin,Na'ale,,,,https://en.wikipedia.org/wiki/Na'ale,31°57′44.99″N,35°3′50.76″E
Nahliel,נחליאל,725,1984,Mateh Binyamin,Nahliel,,,,https://en.wikipedia.org/wiki/Nahliel,31°58′26″N,35°8′24″E
Negohot,נגוהות,352,1999,Har Hebron,Negohot,,,,https://en.wikipedia.org/wiki/Negohot,31°29′34″N,34°59′0″E
Netiv HaGdud,נתיב הגדוד,212,1976,Bik'at HaYarden,Netiv HaGdud,,,,https://en.wikipedia.org/wiki/Netiv HaGdud,31°59′17.6″N,35°26′41.4″E
Neve Daniel,נווה דניאל,"2,322",1982,Gush Etzion,Neve Daniel,,,,https://en.wikipedia.org/wiki/Neve Daniel,31°40′37″N,35°08′37″E
Nili,נילי,"1,786",1981,Mateh Binyamin,"Nili, Mateh Binyamin",,,,"https://en.wikipedia.org/wiki/Nili, Mateh Binyamin",31°57′49.17″N,35°2′51.01″E
Niran,נירן,,1977,Bik'at HaYarden,Niran,,,,https://en.wikipedia.org/wiki/Niran,31°58′0.74″N,35°27′15.62″E
Nofim,נופים,864,1987,Shomron,Nofim,,,,https://en.wikipedia.org/wiki/Nofim,32°09′13″N,35°06′06″E
Nokdim,נוקדים,"2,383",1982,Gush Etzion,Nokdim,,,,https://en.wikipedia.org/wiki/Nokdim,31°38′38″N,35°14′41″E
Na'omi,"נעמ""ה",165,1982,Bik'at HaYarden,Na'omi,,,,https://en.wikipedia.org/wiki/Na'omi,31°54′22.68″N,35°28′1.91″E
Ofra,עפרה,"3,043",1975,Mateh Binyamin,Ofra,,,,https://en.wikipedia.org/wiki/Ofra,31°57′20″N,35°15′37″E
Oranit,אורנית,"8,955",1985,Shomron,Oranit,2069,Nir Bartal,Head of Municipality,https://en.wikipedia.org/wiki/Oranit,32°7′45.5″N,34°59′42.76″E
Otniel,עתניאל,"1,044",1983,Har Hebron,Otniel,,,,https://en.wikipedia.org/wiki/Otniel,31°26′23″N,35°01′44″E
Peduel,פדואל,"2,010",1984,Shomron,Peduel,,,,https://en.wikipedia.org/wiki/Peduel,32°3′44.63″N,35°3′6.84″E
Ma'ale Hever,מעלה חבר,635,1982,Har Hebron,Ma'ale Hever,,,,https://en.wikipedia.org/wiki/Ma'ale Hever,31°29′10″N,35°9′58″E
Petza'el,פצאל,304,1975,Bik'at HaYarden,Petza'el,,,,https://en.wikipedia.org/wiki/Petza'el,32°02′39″N,35°26′32″E
Psagot,פסגות,"1,881",1981,Mateh Binyamin,Psagot,,,,https://en.wikipedia.org/wiki/Psagot,31°53′57.48″N,35°13′26.04″E
Rehelim,רחלים,802,2013,Shomron,Rehelim,,,,https://en.wikipedia.org/wiki/Rehelim,32°6′10.4″N,35°15′25.83″E
Reihan,ריחן,330,1977,Shomron,Reihan,,,,https://en.wikipedia.org/wiki/Reihan,32°28′8.03″N,35°8′5.99″E
Revava,רבבה,"2,632",1991,Shomron,Revava,,,,https://en.wikipedia.org/wiki/Revava,32°7′7.62″N,35°7′43.31″E
Rimonim,רימונים,700,1977,Mateh Binyamin,Rimonim,,,,https://en.wikipedia.org/wiki/Rimonim,31°56′03″N,35°20′24″E
Ro'i,רועי,175,1976,Bik'at HaYarden,Ro'i,,,,https://en.wikipedia.org/wiki/Ro'i,32°14′49.85″N,35°29′20.3″E
Rosh Tzurim,ראש צורים,933,1969,Gush Etzion,Rosh Tzurim,,,,https://en.wikipedia.org/wiki/Rosh Tzurim,31°40′1″N,35°7′32″E
Rotem,רותם,228,1983,Bik'at HaYarden,"Rotem, Bik'at HaYarden",,,,"https://en.wikipedia.org/wiki/Rotem, Bik'at HaYarden",32°20′12″N,35°31′06″E
Sal'it,סלעית,"1,331",1977,Shomron,Sal'it,,,,https://en.wikipedia.org/wiki/Sal'it,32°14′33″N,35°03′07″E
Sansana,סנסנה,519,1997,Har Hebron,Sansana,,,,https://en.wikipedia.org/wiki/Sansana,31°21′42.83″N,34°54′10.44″E
Sha'arei Tikva,שערי תקווה,"6,039",1983,Shomron,Sha'arei Tikva,,,,https://en.wikipedia.org/wiki/Sha'arei Tikva,32°7′22.34″N,35°1′36.93″E
Shadmot Mehola,שדמות מחולה,666,1979,Bik'at HaYarden,Shadmot Mehola,,,,https://en.wikipedia.org/wiki/Shadmot Mehola,32°20′53.78″N,35°31′59.7″E
Shaked,שקד,962,1981,Shomron,Shaked,,,,https://en.wikipedia.org/wiki/Shaked,32°28′23.51″N,35°10′8.39″E
Livne,לִבְנֶה‬,,1989,Har Hebron,Livne,,,,https://en.wikipedia.org/wiki/Livne,31°21′21″N,35°4′12″E
Shavei Shomron,שבי שומרון,977,1977,Shomron,Shavei Shomron,,,,https://en.wikipedia.org/wiki/Shavei Shomron,32°15′50.60″N,35°11′5.78″E
Shilo,שילה,"4,356",1979,Mateh Binyamin,"Shilo, Mateh Binyamin",,,,"https://en.wikipedia.org/wiki/Shilo, Mateh Binyamin",32°3′14″N,35°17′55″E
Shim'a,שמעה,741,1985,Har Hebron,Shim'a,,,,https://en.wikipedia.org/wiki/Shim'a,31°23′16″N,35°0′46″E
Susiya,סוסיא,"1,339",1983,Har Hebron,"Susya, Har Hevron",,,,"https://en.wikipedia.org/wiki/Susya, Har Hevron",31°23′30.67″N,35°6′44.45″E
Talmon,טלמון,"4,575",1989,Mateh Binyamin,Talmon,,,,https://en.wikipedia.org/wiki/Talmon,31°56′18″N,35°8′6″E
Tekoa,תקוע,"4,076",1977,Gush Etzion,"Tekoa, Gush Etzion",,,,"https://en.wikipedia.org/wiki/Tekoa, Gush Etzion",31°39′10.86″N,35°13′44.52″E
Telem,תלם,445,1982,Har Hebron,"Telem, Har Hevron",,,,"https://en.wikipedia.org/wiki/Telem, Har Hevron",31°33′51″N,35°01′52″E
Teneh Omarim,טנא עומרים,872,1983,Har Hebron,Teneh Omarim,,,,https://en.wikipedia.org/wiki/Teneh Omarim,31°22′31″N,34°57′25″E
Tomer,תומר,276,1978,Bik'at HaYarden,Tomer,,,,https://en.wikipedia.org/wiki/Tomer,32°1′7.33″N,35°26′20″E
Vered Yeriho,ורד יריחו,341,1980,Megilot,Vered Yeriho,,,,https://en.wikipedia.org/wiki/Vered Yeriho,31°49′35.03″N,35°25′54.11″E
Yafit,יפית,202,1980,Bik'at HaYarden,Yafit,,,,https://en.wikipedia.org/wiki/Yafit,32°3′41.34″N,35°28′26.69″E
Yakir,יקיר,"2,288",1981,Shomron,Yakir,,,,https://en.wikipedia.org/wiki/Yakir,32°9′1.18″N,35°6′55.42″E
Yitav,"ייט""ב",358,1970,Bik'at HaYarden,Yitav,,,,https://en.wikipedia.org/wiki/Yitav,31°56′50″N,35°25′23″E
Yitzhar,יצהר,"1,726",1983,Shomron,Yitzhar,,,,https://en.wikipedia.org/wiki/Yitzhar,32°10′5.16″N,35°14′10.67″E
Tzofim,צופים,"2,406",1989,Shomron,Tzofim,,,,https://en.wikipedia.org/wiki/Tzofim,32°11′53″N,35°0′33″E
